"performance_id";"employee_id";"review_date";"performance_rating_clean";"productivity_score_clean";"quality_score_clean";"manager_rating";"performance_status"
83;203;"2026-01-05";1.5;69.465905;86.27;3.2;"Good"
84;206;"2026-04-28";3.4;61.04;50.43;2.3;"Excellent"
85;229;"2026-07-24";2.8;69.465905;92.9;1.2;"Average"
86;229;"2026-03-27";1.9;60.47;72.27;3.2;"Excellent"
87;257;"2026-08-07";1.6;99.52;72.81;4.3;"Good"
88;274;"2025-11-19";3.2;64.44;92.91;1.6;"Excellent"
89;274;"2026-04-10";4.6;99.5;88.55;3.3;"Good"
90;275;"2025-06-17";2.0;54.84;66.62;3.8;"Excellent"
91;346;"2025-12-09";3.2;53.27;57.74;3.0;"Average"
92;350;"2025-06-15";3.3;78.86;41.94;4.1;"Needs Improvement"
93;350;"2026-02-06";3.6;45.36;97.46;4.4;"Good"
94;368;"2026-05-01";4.5;48.73;98.9;2.8;"Good"
95;368;"2026-02-10";4.0;52.74;55.92;2.5;"Excellent"
96;373;"2025-03-02";0.0;78.1;40.33;1.3;"Good"
97;383;"2026-04-24";3.9;80.55;56.89;4.3;"Good"
98;422;"2025-02-08";2.7;74.79;49.09;4.3;"Average"
99;464;"2025-08-08";3.0;43.85;87.01;3.1;"Good"
100;465;"2026-03-20";3.8;88.06;90.54;2.9;"Needs Improvement"
101;466;"2025-11-15";4.7;83.96;77.64;2.0;"Good"
102;488;"2025-01-23";3.2;60.01;56.93;2.0;"Good"
103;488;"2025-06-07";4.1;54.63;82.79;3.0;"Good"
104;514;"2025-07-25";2.3;95.58;85.14;3.6;"Needs Improvement"
105;1031;"2025-09-01";1.2;52.31;70.819535;3.0;"Good"
106;1031;"2025-04-12";3.9;42.0;52.87;3.7;"Needs Improvement"
107;1037;"2025-07-12";4.4;54.44;95.91;2.1;"Average"
108;1;"2026-02-17";1.9;54.3;65.75;3.6;"Excellent"
109;10;"2025-07-14";1.2;52.73;69.92;1.0;"Average"
110;25;"2026-07-31";0.0;75.57;55.72;2.9;"Average"
111;27;"2025-11-16";2.5;62.04;75.38;2.3;"Needs Improvement"
112;37;"2026-04-09";3.3;40.73;42.36;4.0;"Average"
113;57;"2025-04-03";4.5;60.62;76.1;4.3;"Good"
114;90;"2025-01-22";3.5;60.94;46.29;1.9;"Needs Improvement"
115;90;"2025-05-02";1.8;51.7;87.96;4.1;"Good"
116;96;"2025-09-27";4.2;44.25;51.23;3.0;"Needs Improvement"
117;103;"2026-04-18";3.7;90.56;93.18;4.9;"Good"
118;103;"2026-06-29";4.7;64.61;68.05;3.1;"Excellent"
119;116;"2025-09-26";4.1;72.34;60.49;3.1;"Average"
120;116;"2025-01-16";4.0;52.19;41.25;2.3;"Average"
121;119;"2025-10-15";2.3;69.465905;70.819535;1.1;"Excellent"
122;137;"2025-07-12";4.8;59.75;77.66;4.1;"Needs Improvement"
123;137;"2026-01-14";2.3;77.89;40.55;1.4;"Good"
124;139;"2025-05-25";1.6;83.83;70.51;3.1;"Excellent"
125;153;"2026-05-29";2.7;51.56;95.33;3.0;"Needs Improvement"
126;153;"2026-02-05";3.4;50.28;97.59;3.1;"Average"
127;175;"2026-08-16";2.7;52.81;52.93;3.3;"Excellent"
128;185;"2025-08-13";3.2;44.98;77.43;3.4;"Excellent"
129;218;"2026-04-01";4.0;53.02;67.97;1.2;"Needs Improvement"
130;218;"2025-01-02";4.6;46.26;92.1;4.3;"Average"
131;285;"2026-05-07";3.1;64.17;41.63;5.0;"Needs Improvement"
132;285;"2026-01-24";2.2;90.89;65.64;4.8;"Good"
133;311;"2025-08-25";1.4;73.63;79.01;4.4;"Good"
134;320;"2025-04-22";3.4;72.65;41.77;1.6;"Average"
135;325;"2026-07-09";4.4;86.89;53.38;4.9;"Excellent"
136;325;"2026-06-11";4.3;97.57;83.12;1.9;"Excellent"
137;332;"2026-06-28";1.1;69.69;45.63;1.5;"Good"
138;332;"2025-09-05";4.5;43.1;42.31;1.3;"Good"
139;339;"2026-02-20";4.1;71.84;45.32;4.3;"Needs Improvement"
140;339;"2025-10-04";3.3;79.2;57.93;1.6;"Needs Improvement"
141;345;"2025-10-21";1.4;81.82;54.75;2.7;"Good"
142;353;"2025-11-28";1.6;81.01;83.96;1.8;"Needs Improvement"
143;353;"2025-01-22";4.1;49.76;53.56;4.6;"Needs Improvement"
144;357;"2026-03-24";3.8;87.17;72.47;2.5;"Excellent"
145;407;"2025-09-25";1.2;47.72;94.32;1.6;"Excellent"
146;418;"2025-02-04";3.9;59.94;84.99;4.6;"Good"
147;430;"2025-03-24";2.2;65.07;55.58;5.0;"Excellent"
148;433;"2026-07-31";3.0;81.16;76.66;2.8;"Good"
149;453;"2025-08-18";3.1;57.54;96.36;1.8;"Excellent"
150;453;"2026-01-15";1.4;44.41;73.51;2.3;"Needs Improvement"
151;461;"2026-04-29";2.3;98.79;79.91;4.1;"Needs Improvement"
152;462;"2026-01-23";4.7;74.44;80.32;4.7;"Average"
153;480;"2025-08-25";1.2;74.38;61.58;1.6;"Average"
154;502;"2025-04-10";4.4;77.2;70.819535;1.6;"Average"
155;502;"2025-02-14";3.9;50.53;86.64;1.4;"Excellent"
156;505;"2026-01-12";1.8;48.04;85.34;4.5;"Excellent"
157;505;"2025-02-08";0.0;58.1;77.24;2.6;"Excellent"
158;510;"2026-07-09";4.4;76.88;48.05;2.1;"Excellent"
159;510;"2025-03-08";4.8;56.48;73.71;4.1;"Excellent"
160;515;"2026-04-12";4.8;97.26;77.93;2.1;"Good"
161;515;"2025-07-31";4.6;88.97;67.55;4.8;"Good"
162;523;"2025-01-20";1.9;43.94;51.01;3.0;"Needs Improvement"
163;523;"2025-07-25";2.8;60.44;69.18;3.1;"Excellent"
164;528;"2026-07-12";1.3;49.51;57.66;4.2;"Excellent"
165;528;"2025-10-17";3.7;70.42;72.83;3.0;"Needs Improvement"
166;531;"2026-07-01";4.2;40.84;43.67;2.8;"Excellent"
167;533;"2025-02-11";3.8;85.33;41.03;4.7;"Average"
168;56;"2026-01-25";1.1;81.67;96.37;1.3;"Average"
169;115;"2025-01-23";4.9;56.19;58.71;2.1;"Good"
170;115;"2026-01-13";2.9;66.73;49.12;2.1;"Needs Improvement"
171;121;"2025-07-01";4.4;53.07;75.49;1.8;"Good"
172;128;"2025-09-30";1.5;43.85;52.25;4.9;"Good"
173;136;"2026-06-13";1.1;63.82;63.48;1.0;"Needs Improvement"
174;136;"2026-05-21";2.0;52.77;86.38;2.7;"Needs Improvement"
175;165;"2026-03-11";4.2;69.31;50.53;3.8;"Needs Improvement"
176;165;"2025-06-17";4.4;69.51;85.77;4.5;"Excellent"
177;193;"2025-01-24";1.7;86.15;48.11;2.6;"Average"
178;194;"2025-02-20";4.1;41.87;75.06;3.1;"Needs Improvement"
179;194;"2025-08-01";2.4;55.33;88.05;2.1;"Needs Improvement"
180;216;"2026-04-06";2.6;79.17;89.56;2.8;"Needs Improvement"
181;227;"2025-11-08";2.6;43.0;57.38;4.1;"Excellent"
182;231;"2025-06-29";2.8;99.75;88.32;2.4;"Good"
183;246;"2025-05-08";5.0;95.95;87.24;1.7;"Average"
184;246;"2026-03-04";2.7;76.06;77.4;4.4;"Good"
185;248;"2026-01-05";4.2;71.82;96.33;3.3;"Excellent"
186;248;"2026-04-27";3.6;98.02;76.2;3.9;"Needs Improvement"
187;251;"2026-08-10";4.0;70.42;91.45;2.0;"Average"
188;256;"2025-02-12";3.3;69.465905;80.13;2.3;"Average"
189;259;"2025-03-22";2.3;44.56;67.87;4.6;"Excellent"
190;270;"2026-02-02";3.7;100.0;91.35;1.7;"Good"
191;290;"2026-06-27";4.6;89.42;76.79;2.7;"Excellent"
192;301;"2026-05-27";1.8;98.93;95.91;2.3;"Needs Improvement"
193;301;"2025-02-03";2.0;65.24;79.76;4.8;"Needs Improvement"
194;306;"2025-07-24";1.9;65.46;95.86;1.5;"Needs Improvement"
195;308;"2026-06-14";1.8;96.0;93.83;2.9;"Average"
196;330;"2025-10-04";2.3;47.43;62.92;4.4;"Excellent"
197;330;"2025-06-29";2.5;74.55;69.97;3.2;"Good"
198;333;"2025-06-24";4.1;57.82;74.69;4.2;"Good"
199;342;"2026-03-15";1.3;95.32;88.47;4.6;"Excellent"
200;342;"2026-02-17";3.4;51.42;53.66;2.8;"Average"
201;347;"2026-01-02";1.4;53.88;74.56;4.7;"Needs Improvement"
202;347;"2025-04-07";2.3;87.22;99.87;3.3;"Needs Improvement"
203;363;"2026-02-03";3.9;89.0;99.13;1.3;"Good"
204;363;"2025-05-07";3.6;56.27;63.39;1.9;"Needs Improvement"
205;390;"2026-06-01";3.6;83.83;98.11;3.2;"Needs Improvement"
206;390;"2025-01-09";4.3;77.56;65.71;3.2;"Average"
207;419;"2025-02-12";2.7;71.31;42.75;2.9;"Excellent"
208;419;"2026-07-14";1.6;59.42;91.6;4.2;"Good"
209;428;"2026-03-07";1.1;53.24;92.31;4.4;"Average"
210;431;"2025-03-24";2.6;56.51;80.32;4.4;"Good"
211;434;"2026-06-21";1.4;81.23;54.17;1.8;"Good"
212;455;"2025-08-24";2.2;41.72;94.88;4.1;"Excellent"
213;455;"2025-02-01";4.6;84.5;96.31;1.8;"Excellent"
214;471;"2025-11-25";4.9;86.84;98.31;1.3;"Good"
215;477;"2025-01-03";2.0;73.3;62.32;3.6;"Excellent"
216;477;"2025-02-01";2.4;69.465905;48.86;3.5;"Average"
217;499;"2026-03-24";4.9;83.55;43.57;4.8;"Average"
218;499;"2026-05-18";3.1;64.01;93.71;1.9;"Good"
219;511;"2026-03-02";4.1;71.92;42.67;2.0;"Excellent"
220;511;"2026-02-22";3.9;57.0;97.93;1.6;"Needs Improvement"
221;525;"2025-08-23";2.2;44.19;80.69;3.6;"Good"
222;525;"2026-03-26";4.8;54.66;47.2;4.6;"Excellent"
223;1024;"2025-02-01";2.4;49.23;87.05;4.9;"Average"
224;1035;"2026-02-26";3.9;60.95;49.59;3.7;"Needs Improvement"
225;1035;"2025-11-24";2.3;53.58;63.55;3.1;"Good"
226;2;"2025-10-21";2.9;84.46;85.08;4.9;"Average"
227;2;"2026-03-28";4.4;69.465905;57.64;1.3;"Average"
228;8;"2025-12-18";2.1;91.78;97.97;3.8;"Average"
229;24;"2025-04-11";2.6;96.78;66.88;4.5;"Needs Improvement"
230;24;"2026-06-07";3.3;50.15;40.17;1.4;"Average"
231;32;"2025-02-16";3.8;62.24;91.21;2.2;"Needs Improvement"
232;32;"2025-01-15";3.2;45.95;99.82;4.2;"Excellent"
233;48;"2025-11-05";2.2;43.78;70.02;3.8;"Needs Improvement"
234;59;"2025-07-21";4.7;63.72;55.83;2.8;"Good"
235;78;"2026-01-23";4.6;58.17;78.69;2.2;"Average"
236;109;"2026-03-20";1.9;80.05;78.41;1.1;"Excellent"
237;127;"2026-01-03";1.5;44.16;45.56;2.9;"Excellent"
238;127;"2026-04-08";2.7;45.82;42.03;4.1;"Needs Improvement"
239;147;"2025-07-16";2.2;84.39;61.72;3.6;"Excellent"
240;147;"2026-06-17";4.6;51.52;70.5;2.2;"Needs Improvement"
241;149;"2025-04-11";1.7;85.33;70.819535;4.2;"Excellent"
242;161;"2025-01-16";2.7;87.8;59.82;3.5;"Excellent"
243;161;"2025-01-29";4.8;68.18;66.8;3.9;"Good"
244;164;"2026-06-21";3.6;68.36;43.07;4.9;"Average"
245;164;"2025-04-20";5.0;57.33;71.42;3.3;"Good"
246;252;"2026-07-11";2.1;44.72;95.5;1.5;"Needs Improvement"
247;266;"2026-05-08";1.3;53.1;63.15;2.2;"Good"
248;276;"2025-12-13";4.1;75.77;59.02;1.5;"Average"
249;281;"2025-08-26";2.0;98.23;57.44;2.3;"Needs Improvement"
250;283;"2026-07-13";1.8;74.08;95.33;1.9;"Good"
251;283;"2025-10-07";1.7;97.77;88.12;3.4;"Average"
252;293;"2026-01-29";2.3;42.63;70.819535;1.1;"Needs Improvement"
253;294;"2025-03-10";5.0;84.91;59.7;3.0;"Average"
254;294;"2025-12-14";3.0;47.53;97.71;1.8;"Excellent"
255;337;"2025-02-09";4.8;65.08;64.75;3.7;"Excellent"
256;337;"2026-03-28";3.4;86.22;50.01;1.6;"Excellent"
257;381;"2026-04-18";2.1;54.88;51.03;4.0;"Good"
258;384;"2025-06-26";1.9;85.49;59.36;2.0;"Good"
259;406;"2025-05-12";3.6;57.29;80.02;4.3;"Excellent"
260;410;"2026-04-14";2.0;70.31;67.14;4.5;"Excellent"
261;445;"2026-06-01";4.7;76.75;64.93;3.1;"Good"
262;445;"2025-10-19";4.2;86.33;70.09;3.5;"Average"
263;463;"2025-10-24";1.7;40.59;72.84;4.2;"Good"
264;463;"2026-07-30";2.7;63.32;75.29;1.4;"Average"
265;492;"2025-12-01";3.1;90.7;62.89;4.0;"Average"
266;495;"2025-10-23";1.4;68.06;99.31;3.8;"Average"
267;1036;"2026-04-07";2.0;86.31;66.48;4.0;"Good"
268;7;"2025-03-31";2.3;69.465905;70.819535;1.1;"Excellent"
269;28;"2026-01-08";3.1;70.57;93.77;1.9;"Good"
270;28;"2025-07-24";3.0;73.52;43.15;4.3;"Needs Improvement"
271;33;"2026-07-21";1.8;68.44;47.53;3.0;"Excellent"
272;33;"2025-03-26";3.3;92.9;68.44;3.8;"Excellent"
273;38;"2025-03-01";2.0;92.85;70.819535;2.9;"Good"
274;38;"2025-08-03";1.7;41.9;43.53;1.0;"Needs Improvement"
275;58;"2025-07-07";2.7;52.49;49.55;3.9;"Excellent"
276;58;"2025-09-06";3.1;49.63;62.02;2.3;"Average"
277;69;"2026-03-15";1.6;50.03;92.34;2.3;"Excellent"
278;69;"2025-10-03";1.5;42.39;83.47;1.5;"Good"
279;76;"2025-05-23";4.3;69.35;93.67;2.0;"Average"
280;76;"2025-05-05";3.5;96.17;51.54;4.0;"Excellent"
281;134;"2025-11-08";1.4;63.88;74.85;1.2;"Good"
282;138;"2025-08-22";2.2;69.465905;91.59;4.0;"Excellent"
283;158;"2026-02-04";3.0;64.61;60.31;4.0;"Average"
284;158;"2025-01-09";3.5;81.59;74.12;3.6;"Average"
285;172;"2025-12-29";3.6;69.465905;61.25;3.2;"Average"
286;184;"2026-05-22";2.4;96.12;80.48;2.1;"Good"
287;184;"2025-11-18";3.3;93.86;98.81;3.0;"Average"
288;196;"2025-11-12";1.3;94.84;75.19;4.7;"Needs Improvement"
289;204;"2025-10-30";0.0;68.74;45.3;3.9;"Good"
290;204;"2025-04-13";4.8;79.79;98.63;4.6;"Average"
291;215;"2025-12-02";2.0;90.55;81.69;4.0;"Average"
292;217;"2025-02-06";1.9;86.66;83.62;4.2;"Needs Improvement"
293;217;"2026-06-27";4.5;61.24;94.74;2.5;"Excellent"
294;234;"2025-12-20";4.4;99.48;47.1;4.7;"Good"
295;264;"2025-04-15";4.7;47.19;93.8;2.3;"Needs Improvement"
296;268;"2025-04-18";2.0;41.29;52.65;3.8;"Needs Improvement"
297;271;"2026-04-15";4.5;74.58;44.64;3.0;"Good"
298;286;"2025-11-27";2.5;45.91;71.85;1.6;"Excellent"
299;286;"2026-08-20";1.4;85.16;69.9;1.2;"Average"
300;318;"2026-03-15";3.4;42.77;62.55;3.3;"Average"
301;329;"2025-07-09";4.0;56.43;70.9;4.1;"Good"
302;329;"2025-09-26";3.5;41.97;94.45;4.7;"Needs Improvement"
303;387;"2025-01-06";4.3;83.77;61.99;3.8;"Good"
304;396;"2026-01-09";4.2;69.465905;57.81;2.9;"Good"
305;396;"2026-03-23";3.7;59.08;92.57;3.7;"Needs Improvement"
306;424;"2025-09-27";3.7;89.34;71.81;2.0;"Average"
307;426;"2026-08-07";2.8;69.465905;67.55;1.8;"Average"
308;449;"2025-01-01";2.7;42.3;95.17;4.1;"Excellent"
309;449;"2025-03-01";4.1;69.465905;77.04;4.6;"Average"
310;454;"2025-01-26";4.4;78.53;76.55;3.9;"Needs Improvement"
311;467;"2026-02-22";1.1;43.28;93.24;3.4;"Good"
312;467;"2026-08-08";1.8;51.35;83.22;4.3;"Needs Improvement"
313;489;"2025-05-23";3.6;51.13;81.15;2.1;"Good"
314;509;"2025-06-08";2.7;69.38;74.7;2.9;"Average"
315;509;"2026-05-11";2.9;74.14;72.7;3.3;"Excellent"
316;516;"2025-11-10";4.3;42.93;68.08;2.5;"Good"
317;516;"2025-08-02";3.8;57.63;70.819535;1.8;"Needs Improvement"
318;3;"2025-01-13";1.5;59.09;91.77;1.1;"Average"
319;15;"2025-07-04";1.3;69.465905;91.25;4.8;"Excellent"
320;15;"2025-03-03";1.6;86.95;75.32;1.7;"Excellent"
321;47;"2025-09-09";3.7;50.5;51.53;1.5;"Excellent"
322;60;"2025-10-23";3.1;72.85;80.44;4.9;"Needs Improvement"
323;60;"2025-12-24";2.7;91.24;59.93;4.7;"Average"
324;66;"2026-06-11";1.3;58.73;61.4;4.2;"Needs Improvement"
325;66;"2025-04-11";2.9;67.38;65.61;2.8;"Excellent"
326;71;"2025-04-22";0.0;75.7;48.7;3.3;"Good"
327;71;"2025-06-20";4.3;99.45;67.4;4.3;"Needs Improvement"
328;92;"2025-07-20";3.0;72.39;84.06;2.0;"Excellent"
329;92;"2025-04-23";3.8;80.54;70.65;1.1;"Average"
330;95;"2025-05-30";1.5;95.53;73.53;2.6;"Good"
331;95;"2025-10-07";2.0;69.28;43.24;4.0;"Average"
332;108;"2025-02-28";4.3;90.38;70.57;4.7;"Excellent"
333;124;"2026-06-19";4.2;54.12;54.96;2.1;"Average"
334;124;"2025-10-28";4.8;84.86;73.49;1.4;"Needs Improvement"
335;133;"2025-12-18";2.1;40.1;71.8;2.3;"Excellent"
336;133;"2025-06-16";4.1;67.01;68.2;4.4;"Needs Improvement"
337;143;"2026-06-13";2.4;73.66;75.28;4.9;"Excellent"
338;144;"2025-02-02";4.6;87.25;86.98;1.9;"Needs Improvement"
339;144;"2026-07-12";3.2;45.66;70.819535;4.4;"Excellent"
340;154;"2025-07-25";2.2;83.33;98.17;3.3;"Needs Improvement"
341;174;"2026-05-07";4.6;70.89;86.99;2.3;"Excellent"
342;183;"2026-01-14";4.0;84.17;49.65;4.9;"Good"
343;183;"2026-04-03";3.4;66.18;96.44;1.6;"Needs Improvement"
344;198;"2025-10-09";2.6;73.44;94.32;2.5;"Excellent"
345;202;"2025-09-24";2.6;81.07;61.9;4.1;"Needs Improvement"
346;202;"2025-09-07";4.8;50.81;95.92;3.3;"Excellent"
347;209;"2025-05-18";3.3;44.73;53.19;4.3;"Good"
348;239;"2026-03-20";2.0;40.64;99.64;1.6;"Needs Improvement"
349;239;"2025-02-26";3.6;73.24;79.32;3.7;"Good"
350;249;"2026-07-23";4.2;87.88;94.22;4.0;"Needs Improvement"
351;263;"2025-01-09";4.1;88.2;51.63;4.2;"Good"
352;282;"2025-03-28";4.1;59.16;48.46;4.4;"Needs Improvement"
353;282;"2025-01-21";2.6;45.47;53.76;2.8;"Average"
354;298;"2025-04-11";2.4;41.03;54.08;3.4;"Good"
355;302;"2025-04-11";4.0;92.19;82.81;3.3;"Average"
356;305;"2025-09-05";3.0;85.46;94.82;2.8;"Average"
357;305;"2025-02-10";2.6;69.465905;73.65;1.1;"Good"
358;323;"2025-10-17";1.5;96.55;89.63;4.0;"Excellent"
359;326;"2025-04-26";1.8;93.9;60.89;1.5;"Average"
360;326;"2026-07-25";2.2;41.82;95.7;1.1;"Good"
361;327;"2026-01-25";3.9;98.71;42.81;4.4;"Excellent"
362;334;"2025-07-18";2.0;87.95;95.49;3.5;"Good"
363;358;"2026-03-27";3.5;96.7;64.64;2.2;"Good"
364;358;"2026-07-29";3.1;47.71;89.47;1.8;"Average"
365;374;"2025-08-12";2.9;86.82;70.16;1.8;"Average"
366;376;"2025-11-01";4.6;71.21;87.23;3.1;"Good"
367;380;"2025-04-22";2.8;92.46;73.9;3.8;"Needs Improvement"
368;380;"2025-08-01";4.8;81.91;87.88;2.8;"Needs Improvement"
369;385;"2025-09-28";3.8;46.83;95.42;2.8;"Average"
370;385;"2026-02-02";4.4;57.89;97.86;3.0;"Average"
371;393;"2025-09-19";3.2;74.12;89.91;4.3;"Average"
372;397;"2025-02-01";3.7;52.46;96.45;2.5;"Excellent"
373;398;"2025-10-07";2.7;41.54;75.75;1.7;"Excellent"
374;400;"2026-07-28";4.4;66.5;87.68;2.2;"Excellent"
375;421;"2026-05-24";3.7;42.87;70.819535;4.6;"Average"
376;448;"2026-02-10";2.3;47.43;64.8;1.8;"Average"
377;448;"2025-07-21";3.9;92.14;95.69;1.5;"Needs Improvement"
378;479;"2025-10-18";4.1;61.62;92.45;3.4;"Good"
379;501;"2025-03-11";4.5;86.58;87.13;1.2;"Needs Improvement"
380;501;"2026-03-05";1.6;61.79;74.61;2.9;"Average"
381;503;"2026-07-30";1.0;72.14;45.77;4.4;"Excellent"
382;503;"2025-05-08";1.0;46.87;49.68;3.0;"Excellent"
383;506;"2025-05-02";3.2;65.02;44.32;3.3;"Average"
384;506;"2025-01-30";2.5;87.93;84.95;1.2;"Excellent"
385;512;"2025-02-27";2.7;43.51;61.72;3.0;"Good"
386;512;"2025-09-19";1.4;46.29;41.95;4.0;"Average"
387;530;"2025-10-25";2.4;49.83;98.7;3.4;"Excellent"
388;1027;"2025-12-27";3.9;66.24;85.28;3.1;"Good"
389;1027;"2026-06-14";1.6;81.4;91.69;4.8;"Excellent"
390;1028;"2025-08-17";4.1;45.03;82.93;4.2;"Needs Improvement"
391;6;"2025-04-24";2.3;70.11;70.819535;3.4;"Needs Improvement"
392;42;"2025-03-04";1.6;95.05;44.68;3.0;"Excellent"
393;77;"2025-12-12";4.7;49.95;96.01;1.8;"Excellent"
394;77;"2025-05-10";4.6;52.61;92.19;2.8;"Average"
395;80;"2026-06-17";2.3;40.82;65.08;1.1;"Needs Improvement"
396;82;"2026-04-18";3.4;47.69;47.37;4.6;"Excellent"
397;82;"2025-08-02";1.4;91.3;56.48;1.3;"Average"
398;99;"2025-09-28";4.5;63.72;82.98;2.8;"Excellent"
