"leave_id";"employee_id";"leave_type_clean";"start_date";"end_date";"leave_days_clean";"leave_status_clean"
71;52;"Earned Leave";"2025-11-11";"2026-06-30";1;"Approved"
75;86;"Sick Leave";"2025-04-22";"2026-03-15";1;"Rejected"
76;86;"Casual Leave";"2025-01-19";"2026-03-07";5;"Pending"
78;93;"Earned Leave";"2025-03-08";"2025-04-24";2;"Approved"
79;146;"Earned Leave";"2025-02-14";"2026-08-17";4;"Pending"
84;159;"Sick Leave";"2025-10-06";"2026-07-14";5;"Rejected"
86;168;"Casual Leave";"2025-02-16";"2026-02-21";4;"Approved"
87;170;"Casual Leave";"2026-07-03";"2026-07-12";2;"Pending"
89;186;"Casual Leave";"2025-05-04";"2025-06-19";1;"Rejected"
90;188;"Casual Leave";"2025-10-22";"2026-03-09";1;"Rejected"
92;190;"Earned Leave";"2025-11-04";"2026-08-05";1;"Rejected"
93;203;"Casual Leave";"2025-06-16";"2025-12-14";4;"Pending"
94;206;"Casual Leave";"2025-06-06";"2025-09-29";3;"Pending"
95;206;"Sick Leave";"2025-10-17";"2026-08-23";4;"Pending"
96;257;"Casual Leave";"2026-04-21";"2026-08-14";5;"Approved"
98;261;"Sick Leave";"2025-03-24";"2025-11-05";4;"Approved"
100;261;"Earned Leave";"2026-01-15";"2026-03-20";5;"Rejected"
102;274;"Sick Leave";"2026-02-05";"2026-07-04";3;"Pending"
106;346;"Casual Leave";"2025-07-08";"2025-12-23";1;"Pending"
108;346;"Sick Leave";"2025-06-04";"2026-05-20";3;"Rejected"
111;373;"Sick Leave";"2025-03-31";"2026-05-30";5;"Approved"
112;373;"Sick Leave";"2025-06-25";"2025-07-10";2;"Approved"
113;373;"Casual Leave";"2026-04-16";"2026-07-19";2;"Approved"
114;383;"Casual Leave";"2025-08-03";"2026-03-17";4;"Rejected"
115;383;"Sick Leave";"2025-06-04";"2026-06-03";4;"Approved"
116;383;"Earned Leave";"2025-01-20";"2025-12-27";3;"Approved"
119;464;"Earned Leave";"2026-02-04";"2026-08-05";3;"Rejected"
120;465;"Casual Leave";"2025-08-18";"2026-04-10";5;"Approved"
121;466;"Sick Leave";"2025-04-26";"2026-01-04";2;"Rejected"
123;488;"Sick Leave";"2026-01-16";"2026-05-13";4;"Rejected"
124;514;"Earned Leave";"2025-07-04";"2026-07-01";4;"Pending"
126;1034;"Casual Leave";"2026-02-28";"2026-06-23";3;"Approved"
128;1037;"Casual Leave";"2025-07-16";"2026-07-25";2;"Pending"
131;10;"Casual Leave";"2025-10-29";"2025-11-11";3;"Rejected"
134;25;"Casual Leave";"2025-07-20";"2026-07-16";2;"Rejected"
135;27;"Sick Leave";"2025-02-24";"2025-08-13";2;"Rejected"
138;37;"Casual Leave";"2025-05-17";"2026-02-19";2;"Rejected"
139;37;"Casual Leave";"2026-01-29";"2026-05-25";2;"Rejected"
141;90;"Sick Leave";"2025-06-21";"2025-08-15";1;"Approved"
144;103;"Casual Leave";"2025-07-27";"2026-08-15";1;"Rejected"
145;103;"Earned Leave";"2025-12-14";"2025-12-17";2;"Pending"
146;116;"Casual Leave";"2025-04-07";"2025-07-20";2;"Approved"
147;116;"Sick Leave";"2025-04-28";"2026-02-10";5;"Pending"
149;137;"Earned Leave";"2025-01-08";"2025-08-11";5;"Approved"
151;139;"Sick Leave";"2025-09-01";"2025-10-02";4;"Approved"
152;139;"Sick Leave";"2026-04-23";"2026-07-15";1;"Rejected"
154;153;"Casual Leave";"2025-06-04";"2025-08-07";4;"Pending"
155;153;"Sick Leave";"2025-05-20";"2026-02-08";1;"Pending"
156;175;"Casual Leave";"2025-06-27";"2026-04-03";2;"Approved"
158;285;"Casual Leave";"2025-11-13";"2026-01-18";2;"Rejected"
160;311;"Casual Leave";"2025-07-08";"2026-07-10";4;"Pending"
162;320;"Casual Leave";"2025-02-14";"2026-01-07";2;"Approved"
164;325;"Sick Leave";"2025-09-14";"2026-05-30";3;"Approved"
173;407;"Sick Leave";"2025-05-07";"2026-07-15";5;"Approved"
174;430;"Sick Leave";"2026-05-03";"2026-05-17";2;"Approved"
175;433;"Earned Leave";"2026-01-02";"2026-02-13";1;"Approved"
178;439;"Sick Leave";"2025-02-25";"2025-09-21";1;"Pending"
179;439;"Sick Leave";"2025-10-12";"2026-06-08";5;"Approved"
180;453;"Sick Leave";"2025-03-27";"2025-12-09";3;"Approved"
181;453;"Earned Leave";"2026-02-14";"2026-05-21";5;"Pending"
182;461;"Casual Leave";"2026-05-14";"2026-08-16";4;"Rejected"
183;462;"Casual Leave";"2025-05-29";"2025-09-09";2;"Pending"
184;480;"Casual Leave";"2026-02-11";"2026-04-17";2;"Pending"
186;502;"Sick Leave";"2026-02-09";"2026-05-08";3;"Approved"
188;510;"Casual Leave";"2025-11-11";"2025-12-31";4;"Pending"
190;515;"Casual Leave";"2025-03-30";"2026-07-24";2;"Approved"
191;515;"Sick Leave";"2025-03-01";"2025-11-13";2;"Pending"
193;523;"Sick Leave";"2025-09-06";"2025-11-05";2;"Approved"
194;531;"Casual Leave";"2025-09-06";"2025-10-01";2;"Approved"
195;531;"Casual Leave";"2025-11-06";"2025-12-04";2;"Pending"
197;533;"Sick Leave";"2025-01-29";"2025-07-19";1;"Approved"
198;34;"Casual Leave";"2025-01-09";"2025-05-03";5;"Rejected"
202;56;"Sick Leave";"2025-01-26";"2026-01-14";3;"Approved"
204;128;"Earned Leave";"2025-06-05";"2026-03-30";1;"Pending"
205;136;"Earned Leave";"2025-04-09";"2025-05-26";4;"Pending"
206;136;"Casual Leave";"2025-10-16";"2026-02-07";2;"Pending"
207;165;"Casual Leave";"2025-02-04";"2025-03-23";4;"Pending"
209;193;"Sick Leave";"2025-04-16";"2026-05-20";4;"Approved"
211;194;"Casual Leave";"2025-06-16";"2026-05-16";4;"Approved"
212;194;"Casual Leave";"2026-04-08";"2026-06-07";5;"Rejected"
213;216;"Casual Leave";"2025-10-05";"2025-12-08";2;"Pending"
214;216;"Casual Leave";"2025-03-23";"2026-05-10";5;"Approved"
216;246;"Sick Leave";"2025-08-20";"2025-09-23";3;"Rejected"
217;248;"Earned Leave";"2025-07-30";"2025-11-15";5;"Approved"
222;270;"Sick Leave";"2026-01-25";"2026-07-12";1;"Approved"
223;270;"Earned Leave";"2025-04-02";"2025-04-20";5;"Pending"
229;306;"Casual Leave";"2025-06-03";"2025-10-08";2;"Approved"
230;308;"Sick Leave";"2025-12-29";"2026-08-23";1;"Approved"
231;308;"Casual Leave";"2025-07-07";"2026-07-05";1;"Approved"
232;330;"Casual Leave";"2025-02-10";"2025-09-25";1;"Approved"
239;392;"Casual Leave";"2025-11-05";"2026-02-22";3;"Approved"
240;392;"Casual Leave";"2025-07-18";"2026-06-06";3;"Approved"
241;419;"Earned Leave";"2025-08-29";"2025-11-22";4;"Approved"
243;428;"Sick Leave";"2025-06-07";"2025-06-11";5;"Rejected"
244;428;"Sick Leave";"2025-01-15";"2026-07-08";4;"Rejected"
245;431;"Sick Leave";"2025-08-07";"2026-08-23";1;"Rejected"
248;471;"Earned Leave";"2026-01-04";"2026-02-05";4;"Rejected"
252;499;"Casual Leave";"2026-03-20";"2026-04-23";2;"Rejected"
254;511;"Casual Leave";"2025-10-12";"2026-03-04";2;"Approved"
255;511;"Casual Leave";"2025-03-15";"2026-07-29";3;"Approved"
257;525;"Sick Leave";"2025-09-24";"2026-07-19";1;"Rejected"
258;1024;"Casual Leave";"2025-04-29";"2025-06-24";1;"Approved"
260;2;"Sick Leave";"2025-12-04";"2026-01-14";3;"Approved"
261;8;"Earned Leave";"2025-05-07";"2025-06-13";3;"Approved"
262;8;"Casual Leave";"2026-04-05";"2026-08-24";5;"Pending"
263;24;"Earned Leave";"2025-08-08";"2025-11-17";2;"Pending"
264;32;"Sick Leave";"2025-03-15";"2025-10-08";4;"Rejected"
265;48;"Earned Leave";"2026-02-20";"2026-04-25";3;"Rejected"
266;48;"Casual Leave";"2025-02-14";"2026-03-06";5;"Approved"
271;109;"Sick Leave";"2025-04-14";"2025-10-01";3;"Approved"
274;127;"Casual Leave";"2026-01-10";"2026-02-26";1;"Pending"
275;127;"Sick Leave";"2025-02-27";"2025-04-06";2;"Rejected"
277;161;"Sick Leave";"2025-02-12";"2025-11-22";4;"Pending"
282;181;"Sick Leave";"2025-07-15";"2025-08-14";3;"Approved"
283;244;"Casual Leave";"2025-07-27";"2026-08-13";5;"Approved"
287;266;"Casual Leave";"2025-10-15";"2025-12-27";2;"Approved"
290;276;"Casual Leave";"2025-08-01";"2026-08-09";1;"Pending"
291;281;"Earned Leave";"2025-01-15";"2026-02-18";4;"Approved"
292;283;"Casual Leave";"2025-04-07";"2026-03-11";2;"Rejected"
293;283;"Casual Leave";"2025-02-15";"2026-06-09";1;"Approved"
295;293;"Sick Leave";"2025-02-11";"2025-07-13";1;"Rejected"
301;406;"Casual Leave";"2025-01-24";"2026-01-13";2;"Pending"
302;410;"Sick Leave";"2025-12-17";"2026-06-24";3;"Approved"
303;445;"Casual Leave";"2025-02-17";"2025-06-28";5;"Rejected"
304;463;"Sick Leave";"2025-10-06";"2026-05-01";5;"Rejected"
307;492;"Sick Leave";"2025-12-10";"2026-02-09";4;"Approved"
309;495;"Sick Leave";"2025-03-17";"2025-09-10";2;"Approved"
310;495;"Sick Leave";"2025-03-28";"2026-03-19";3;"Rejected"
311;522;"Casual Leave";"2025-06-24";"2025-11-07";2;"Approved"
313;1036;"Sick Leave";"2025-08-12";"2026-01-20";2;"Rejected"
318;28;"Casual Leave";"2025-04-25";"2025-06-30";2;"Approved"
320;33;"Sick Leave";"2025-02-05";"2025-03-22";1;"Pending"
322;33;"Sick Leave";"2025-03-07";"2025-11-04";2;"Rejected"
323;38;"Sick Leave";"2025-07-18";"2026-01-16";1;"Approved"
327;58;"Casual Leave";"2025-10-28";"2026-02-13";5;"Pending"
331;138;"Sick Leave";"2025-02-18";"2025-03-31";3;"Pending"
333;158;"Sick Leave";"2025-04-22";"2026-04-26";3;"Rejected"
334;172;"Earned Leave";"2025-01-17";"2025-08-28";3;"Pending"
336;184;"Earned Leave";"2025-03-18";"2025-07-18";5;"Approved"
337;204;"Casual Leave";"2025-01-21";"2026-08-20";4;"Approved"
338;204;"Casual Leave";"2025-11-19";"2025-12-08";3;"Rejected"
339;204;"Casual Leave";"2025-02-04";"2026-02-07";5;"Approved"
340;215;"Earned Leave";"2025-09-09";"2026-02-15";2;"Pending"
341;215;"Earned Leave";"2025-02-04";"2025-12-22";1;"Approved"
345;268;"Sick Leave";"2026-01-07";"2026-07-02";2;"Pending"
346;268;"Earned Leave";"2025-01-10";"2025-06-28";5;"Rejected"
347;271;"Casual Leave";"2025-05-03";"2025-05-07";1;"Approved"
348;286;"Sick Leave";"2025-12-21";"2026-01-20";4;"Pending"
349;318;"Casual Leave";"2025-07-03";"2026-06-13";1;"Rejected"
353;361;"Earned Leave";"2025-12-25";"2026-02-06";4;"Rejected"
354;387;"Casual Leave";"2025-11-29";"2026-05-14";5;"Approved"
355;396;"Sick Leave";"2025-07-31";"2025-12-21";2;"Approved"
356;396;"Casual Leave";"2025-07-24";"2026-07-04";1;"Rejected"
359;426;"Sick Leave";"2025-04-12";"2026-03-27";1;"Approved"
361;454;"Sick Leave";"2025-01-01";"2026-05-17";2;"Approved"
362;454;"Sick Leave";"2025-09-10";"2025-12-16";1;"Rejected"
363;467;"Sick Leave";"2026-03-14";"2026-04-21";4;"Approved"
364;489;"Sick Leave";"2025-05-31";"2025-08-15";2;"Approved"
365;489;"Sick Leave";"2025-08-07";"2026-01-14";4;"Rejected"
366;504;"Casual Leave";"2025-07-17";"2026-03-28";2;"Approved"
372;537;"Casual Leave";"2025-07-23";"2026-04-25";5;"Approved"
376;60;"Casual Leave";"2025-03-19";"2026-07-03";2;"Rejected"
380;71;"Sick Leave";"2025-03-11";"2026-04-15";2;"Approved"
381;71;"Casual Leave";"2025-05-23";"2025-08-09";1;"Approved"
383;92;"Casual Leave";"2025-07-13";"2026-03-08";3;"Approved"
384;92;"Earned Leave";"2025-12-09";"2025-12-10";1;"Pending"
385;95;"Earned Leave";"2025-05-30";"2026-08-09";2;"Approved"
389;123;"Earned Leave";"2026-01-04";"2026-05-22";3;"Pending"
390;123;"Casual Leave";"2026-03-16";"2026-04-02";4;"Approved"
391;124;"Sick Leave";"2026-05-07";"2026-08-25";5;"Approved"
392;124;"Earned Leave";"2025-04-21";"2025-06-04";5;"Rejected"
393;144;"Sick Leave";"2025-03-23";"2025-10-03";5;"Approved"
394;144;"Earned Leave";"2025-05-29";"2026-06-17";3;"Approved"
397;154;"Sick Leave";"2025-07-15";"2026-01-06";1;"Rejected"
398;174;"Casual Leave";"2025-06-18";"2026-02-15";1;"Approved"
403;198;"Sick Leave";"2026-01-07";"2026-04-26";2;"Approved"
404;198;"Casual Leave";"2025-06-14";"2026-06-22";3;"Rejected"
405;202;"Casual Leave";"2025-03-29";"2026-05-24";3;"Approved"
406;202;"Sick Leave";"2026-04-28";"2026-08-20";1;"Approved"
410;224;"Casual Leave";"2025-10-05";"2025-10-16";3;"Pending"
411;224;"Casual Leave";"2025-03-11";"2026-05-18";2;"Rejected"
413;239;"Earned Leave";"2026-05-24";"2026-07-12";2;"Approved"
414;249;"Sick Leave";"2026-02-12";"2026-07-01";3;"Pending"
415;249;"Earned Leave";"2026-02-15";"2026-05-01";1;"Approved"
416;263;"Casual Leave";"2026-07-10";"2026-08-10";4;"Rejected"
417;263;"Casual Leave";"2025-08-14";"2026-06-13";4;"Approved"
419;280;"Sick Leave";"2025-03-25";"2026-01-08";2;"Approved"
422;282;"Sick Leave";"2025-09-03";"2026-03-30";3;"Approved"
428;305;"Sick Leave";"2025-05-01";"2025-10-19";2;"Approved"
429;323;"Casual Leave";"2025-02-23";"2025-08-04";5;"Rejected"
431;326;"Casual Leave";"2025-03-14";"2025-09-04";3;"Approved"
432;326;"Sick Leave";"2025-01-23";"2025-07-06";4;"Approved"
434;327;"Sick Leave";"2025-10-01";"2025-10-16";5;"Pending"
437;334;"Casual Leave";"2025-04-12";"2025-07-23";5;"Approved"
439;344;"Sick Leave";"2025-09-25";"2026-08-17";1;"Rejected"
440;344;"Casual Leave";"2025-01-15";"2026-02-07";5;"Approved"
442;358;"Sick Leave";"2026-02-16";"2026-07-15";1;"Approved"
443;374;"Casual Leave";"2025-05-02";"2026-07-02";4;"Rejected"
444;376;"Sick Leave";"2026-03-31";"2026-05-09";3;"Rejected"
448;393;"Casual Leave";"2025-08-05";"2026-08-14";1;"Approved"
452;398;"Casual Leave";"2025-08-02";"2026-08-27";3;"Approved"
454;448;"Sick Leave";"2025-08-26";"2025-10-03";3;"Approved"
456;448;"Sick Leave";"2025-09-29";"2025-10-09";5;"Rejected"
458;501;"Casual Leave";"2025-04-23";"2025-07-13";2;"Pending"
459;503;"Sick Leave";"2025-01-20";"2026-08-24";2;"Pending"
462;506;"Casual Leave";"2025-05-18";"2025-08-28";4;"Approved"
463;506;"Earned Leave";"2025-01-29";"2026-03-06";3;"Pending"
466;530;"Casual Leave";"2025-04-10";"2026-08-25";1;"Pending"
470;6;"Casual Leave";"2025-09-13";"2025-10-24";4;"Approved"
471;6;"Earned Leave";"2025-12-06";"2026-01-02";3;"Rejected"
475;77;"Casual Leave";"2025-11-09";"2026-03-23";2;"Approved"
476;80;"Sick Leave";"2025-05-07";"2026-05-05";2;"Approved"
477;80;"Sick Leave";"2025-03-13";"2025-10-29";5;"Approved"
478;82;"Casual Leave";"2025-05-31";"2025-08-22";2;"Approved"
481;110;"Sick Leave";"2025-11-07";"2025-12-11";2;"Pending"
484;142;"Sick Leave";"2026-06-08";"2026-08-09";5;"Rejected"
485;142;"Casual Leave";"2025-02-09";"2026-05-11";3;"Approved"
486;163;"Casual Leave";"2026-02-22";"2026-06-29";5;"Approved"
488;199;"Earned Leave";"2025-06-06";"2026-02-23";3;"Rejected"
489;199;"Earned Leave";"2025-09-01";"2025-09-15";3;"Approved"
490;208;"Earned Leave";"2026-01-13";"2026-03-23";3;"Pending"
496;213;"Sick Leave";"2025-01-02";"2026-05-08";5;"Approved"
497;240;"Earned Leave";"2025-01-07";"2026-05-22";3;"Approved"
499;247;"Earned Leave";"2025-03-30";"2025-09-02";3;"Rejected"
500;269;"Casual Leave";"2025-09-14";"2025-10-28";2;"Pending"
503;273;"Sick Leave";"2026-02-17";"2026-06-09";4;"Approved"
504;278;"Sick Leave";"2025-01-14";"2025-12-03";2;"Rejected"
506;312;"Sick Leave";"2025-12-18";"2026-05-18";3;"Rejected"
507;364;"Sick Leave";"2025-03-26";"2026-02-10";2;"Approved"
509;375;"Casual Leave";"2025-05-16";"2025-09-23";5;"Approved"
511;379;"Sick Leave";"2025-10-31";"2026-08-04";2;"Pending"
512;379;"Earned Leave";"2025-01-23";"2025-09-02";4;"Pending"
513;402;"Sick Leave";"2025-06-25";"2025-09-22";2;"Approved"
514;414;"Sick Leave";"2025-02-15";"2025-07-29";5;"Rejected"
515;420;"Casual Leave";"2025-05-30";"2025-10-26";2;"Approved"
519;459;"Casual Leave";"2025-06-09";"2025-11-23";3;"Rejected"
524;485;"Casual Leave";"2025-02-13";"2026-03-18";5;"Approved"
526;507;"Earned Leave";"2025-08-04";"2025-11-11";4;"Pending"
528;507;"Earned Leave";"2025-06-25";"2026-08-10";5;"Approved"
529;520;"Casual Leave";"2025-09-20";"2025-10-01";5;"Approved"
530;520;"Sick Leave";"2025-04-25";"2026-07-17";3;"Rejected"
531;526;"Casual Leave";"2025-10-29";"2025-12-20";3;"Approved"
533;532;"Earned Leave";"2025-09-24";"2026-02-07";3;"Rejected"
535;1029;"Sick Leave";"2025-04-08";"2026-04-18";4;"Approved"
536;4;"Earned Leave";"2025-12-22";"2026-03-12";1;"Rejected"
538;45;"Earned Leave";"2026-01-28";"2026-04-03";4;"Rejected"
542;81;"Sick Leave";"2025-09-03";"2026-01-27";5;"Approved"
544;94;"Casual Leave";"2025-10-14";"2026-05-14";1;"Rejected"
546;101;"Sick Leave";"2025-06-02";"2025-06-10";1;"Approved"
547;101;"Earned Leave";"2025-10-11";"2026-08-01";1;"Approved"
548;112;"Casual Leave";"2025-06-02";"2025-11-29";2;"Pending"
549;112;"Casual Leave";"2026-03-19";"2026-05-29";4;"Rejected"
551;117;"Sick Leave";"2025-07-13";"2025-09-15";3;"Rejected"
554;126;"Sick Leave";"2025-02-28";"2025-10-04";3;"Approved"
555;130;"Earned Leave";"2025-04-28";"2025-08-10";5;"Approved"
557;130;"Casual Leave";"2025-01-22";"2025-09-13";3;"Approved"
561;205;"Casual Leave";"2025-07-13";"2026-04-23";2;"Pending"
562;220;"Casual Leave";"2025-12-06";"2026-04-18";3;"Pending"
567;243;"Sick Leave";"2026-01-12";"2026-05-20";2;"Approved"
568;277;"Casual Leave";"2026-02-20";"2026-05-11";4;"Approved"
569;277;"Casual Leave";"2026-06-29";"2026-07-08";1;"Approved"
571;296;"Sick Leave";"2025-09-13";"2026-05-13";5;"Pending"
572;296;"Sick Leave";"2026-04-23";"2026-04-30";4;"Pending"
573;300;"Casual Leave";"2025-02-23";"2026-01-29";5;"Approved"
575;307;"Sick Leave";"2025-04-20";"2025-11-13";1;"Pending"
577;314;"Sick Leave";"2025-08-26";"2026-07-18";5;"Approved"
578;315;"Casual Leave";"2025-03-21";"2026-05-02";5;"Rejected"
580;319;"Sick Leave";"2025-01-15";"2025-05-03";1;"Approved"
583;324;"Casual Leave";"2026-05-17";"2026-08-21";1;"Approved"
584;354;"Earned Leave";"2025-04-21";"2025-08-23";5;"Pending"
587;355;"Casual Leave";"2026-06-14";"2026-08-23";3;"Approved"
591;371;"Casual Leave";"2025-06-03";"2025-09-16";5;"Pending"
593;371;"Earned Leave";"2025-01-19";"2026-03-18";3;"Rejected"
595;377;"Sick Leave";"2025-05-25";"2026-05-16";5;"Pending"
599;423;"Sick Leave";"2025-10-07";"2026-04-01";2;"Approved"
601;441;"Sick Leave";"2025-04-06";"2026-03-28";5;"Rejected"
603;458;"Sick Leave";"2025-03-11";"2025-06-03";5;"Approved"
604;472;"Sick Leave";"2025-07-23";"2025-07-26";5;"Approved"
605;473;"Earned Leave";"2025-12-13";"2026-01-14";3;"Approved"
608;519;"Casual Leave";"2026-02-23";"2026-05-07";2;"Rejected"
609;524;"Sick Leave";"2026-03-02";"2026-07-29";4;"Pending"
610;524;"Sick Leave";"2025-02-01";"2025-04-22";4;"Approved"
615;5;"Sick Leave";"2025-08-02";"2025-12-21";5;"Approved"
616;5;"Casual Leave";"2025-11-28";"2025-12-25";1;"Approved"
617;17;"Casual Leave";"2026-04-17";"2026-08-11";4;"Rejected"
619;23;"Sick Leave";"2025-01-16";"2026-01-01";3;"Approved"
620;23;"Casual Leave";"2025-11-08";"2025-12-04";5;"Approved"
623;39;"Earned Leave";"2025-04-14";"2025-07-24";5;"Approved"
624;39;"Sick Leave";"2025-03-03";"2025-10-25";2;"Approved"
629;62;"Earned Leave";"2025-02-23";"2026-03-29";2;"Approved"
631;79;"Sick Leave";"2025-05-27";"2026-04-04";3;"Approved"
632;91;"Sick Leave";"2025-08-21";"2025-12-20";5;"Pending"
634;105;"Earned Leave";"2025-09-21";"2025-12-12";1;"Approved"
636;107;"Casual Leave";"2025-08-23";"2026-06-02";1;"Approved"
637;135;"Sick Leave";"2025-08-30";"2026-05-21";3;"Approved"
638;135;"Earned Leave";"2025-05-24";"2025-10-12";5;"Rejected"
646;180;"Casual Leave";"2025-01-24";"2025-10-26";3;"Pending"
648;207;"Earned Leave";"2026-01-30";"2026-02-02";2;"Rejected"
652;242;"Sick Leave";"2025-08-01";"2025-10-29";1;"Approved"
655;288;"Casual Leave";"2025-02-02";"2025-10-09";5;"Approved"
658;370;"Sick Leave";"2025-01-28";"2025-02-18";3;"Approved"
659;372;"Sick Leave";"2025-09-08";"2026-06-21";2;"Rejected"
660;378;"Sick Leave";"2025-01-13";"2026-03-09";5;"Pending"
661;395;"Earned Leave";"2025-10-28";"2026-06-09";2;"Approved"
662;401;"Casual Leave";"2025-07-15";"2025-11-14";2;"Pending"
665;408;"Sick Leave";"2025-07-01";"2025-07-14";2;"Pending"
666;408;"Casual Leave";"2025-12-19";"2026-07-02";3;"Pending"
667;432;"Casual Leave";"2025-01-22";"2025-05-20";4;"Approved"
668;432;"Casual Leave";"2025-06-27";"2026-06-19";4;"Pending"
669;437;"Sick Leave";"2026-01-31";"2026-06-23";3;"Rejected"
671;438;"Casual Leave";"2026-02-12";"2026-07-17";4;"Pending"
675;475;"Sick Leave";"2025-05-29";"2026-03-27";2;"Rejected"
676;475;"Earned Leave";"2025-02-05";"2026-01-22";2;"Approved"
678;521;"Casual Leave";"2025-02-18";"2025-06-07";3;"Approved"
680;521;"Earned Leave";"2025-02-11";"2026-05-06";3;"Rejected"
681;1038;"Sick Leave";"2025-01-22";"2025-05-29";2;"Approved"
684;19;"Casual Leave";"2025-01-24";"2026-03-31";5;"Approved"
685;20;"Casual Leave";"2025-05-06";"2025-07-11";5;"Approved"
687;29;"Earned Leave";"2026-01-30";"2026-04-27";5;"Approved"
688;85;"Sick Leave";"2025-02-06";"2025-08-03";4;"Rejected"
691;118;"Earned Leave";"2025-03-10";"2026-06-01";4;"Approved"
692;125;"Casual Leave";"2025-11-05";"2026-01-28";4;"Approved"
693;125;"Sick Leave";"2025-05-25";"2025-08-26";3;"Rejected"
695;132;"Earned Leave";"2025-10-10";"2026-01-31";5;"Pending"
696;152;"Earned Leave";"2025-09-28";"2026-08-05";5;"Approved"
697;155;"Sick Leave";"2026-02-01";"2026-08-20";2;"Rejected"
698;155;"Sick Leave";"2025-10-10";"2026-08-01";2;"Approved"
703;200;"Sick Leave";"2026-03-19";"2026-05-17";1;"Rejected"
705;238;"Earned Leave";"2026-02-22";"2026-02-27";3;"Approved"
711;254;"Earned Leave";"2025-01-15";"2025-12-16";1;"Pending"
712;254;"Casual Leave";"2025-04-14";"2025-06-01";1;"Approved"
713;255;"Casual Leave";"2025-11-18";"2026-08-16";2;"Rejected"
715;260;"Casual Leave";"2026-04-10";"2026-04-20";4;"Approved"
716;289;"Sick Leave";"2025-05-07";"2026-06-11";5;"Rejected"
717;289;"Casual Leave";"2025-01-14";"2025-05-14";4;"Pending"
718;310;"Sick Leave";"2025-03-02";"2025-11-30";5;"Approved"
721;336;"Sick Leave";"2025-03-23";"2025-12-06";3;"Approved"
722;341;"Sick Leave";"2026-06-19";"2026-07-08";1;"Approved"
724;367;"Casual Leave";"2025-09-21";"2025-10-16";1;"Rejected"
725;386;"Casual Leave";"2025-03-12";"2026-01-30";1;"Rejected"
728;409;"Earned Leave";"2025-03-04";"2026-04-01";5;"Approved"
730;412;"Casual Leave";"2025-06-08";"2025-11-21";2;"Approved"
731;429;"Casual Leave";"2025-03-02";"2025-10-05";2;"Approved"
741;513;"Casual Leave";"2025-11-25";"2026-06-24";4;"Approved"
743;1030;"Casual Leave";"2025-01-26";"2025-10-19";1;"Approved"
744;43;"Sick Leave";"2025-02-13";"2025-04-25";1;"Rejected"
745;43;"Earned Leave";"2025-01-28";"2025-10-20";1;"Pending"
747;44;"Sick Leave";"2025-04-12";"2026-03-02";2;"Rejected"
748;44;"Earned Leave";"2025-04-28";"2025-11-20";2;"Pending"
750;46;"Earned Leave";"2025-04-24";"2025-09-04";2;"Approved"
